LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.17649293	2.8970532417297363	0	21.465811965811966	9.73543762284125	62.0	7.0	21.465811965811966	9.73543762284125	5023	5023
-0.094129086	3.994007110595703	1	23.615023474178404	9.021734820856391	58.0	8.0	23.615023474178404	9.021734820856391	5030	10053
-0.071825504	5.002526044845581	2	25.656410256410258	11.678597449856394	82.0	8.0	25.656410256410258	11.678597449856394	5003	15056
-0.025800228	6.009236097335815	3	29.127906976744185	12.292743663724723	80.0	9.0	29.127906976744185	12.292743663724723	5010	20066
-0.050251484	7.019259214401245	4	33.12582781456954	14.394307482157034	78.0	11.0	33.12582781456954	14.394307482157034	5002	25068
-0.078267574	8.024922132492065	5	36.45652173913044	15.900104623307863	89.0	13.0	36.45652173913044	15.900104623307863	5031	30099
-0.011997223	9.033416271209717	6	39.70866141732284	16.08447690852254	86.0	15.0	39.70866141732284	16.08447690852254	5043	35142
-0.119856834	10.037919044494629	7	40.05555555555556	14.974743581319803	80.0	15.0	40.05555555555556	14.974743581319803	5047	40189
-0.2004714	11.03939414024353	8	47.77142857142857	15.539968218915313	87.0	16.0	47.77142857142857	15.539968218915313	5016	45205
-0.099265575	12.026997089385986	9	49.11764705882353	12.735848830920535	86.0	20.0	49.11764705882353	12.735848830920535	5010	50215
-0.07227802	13.021339178085327	10	50.64646464646464	14.884954868613788	96.0	19.0	50.64646464646464	14.884954868613788	5014	55229
-0.100859165	14.034111976623535	11	54.75	14.709967782898541	108.0	17.0	54.75	14.709967782898541	5037	60266
-0.07702923	15.036622047424316	12	56.752808988764045	12.581671080018022	92.0	35.0	56.752808988764045	12.581671080018022	5051	65317
-0.015098572	16.063642263412476	13	57.54545454545455	12.545289853991465	91.0	38.0	57.54545454545455	12.545289853991465	5064	70381
-0.032093525	17.065036058425903	14	59.34117647058824	12.697895092982442	93.0	43.0	59.34117647058824	12.697895092982442	5044	75425
-0.16446829	18.055017948150635	15	58.31395348837209	15.603563716311715	107.0	33.0	58.31395348837209	15.603563716311715	5015	80440
-0.083888054	19.03961420059204	16	61.1219512195122	17.317966311560728	111.0	37.0	61.1219512195122	17.317966311560728	5012	85452
-0.001373291	20.09017324447632	17	65.32467532467533	19.626010807580364	136.0	35.0	65.32467532467533	19.626010807580364	5030	90482
-0.07510567	21.077085971832275	18	65.89473684210526	20.706964851271675	113.0	37.0	65.89473684210526	20.706964851271675	5008	95490
-0.009071827	22.07400918006897	19	66.75	17.026392052216742	118.0	38.0	66.75	17.026392052216742	5073	100563
-0.032544613	23.056995153427124	20	71.5	18.9274932307477	125.0	43.0	71.5	18.9274932307477	5005	105568
-0.107414246	24.046013116836548	21	74.08823529411765	21.72741240523108	161.0	41.0	74.08823529411765	21.72741240523108	5038	110606
-0.27180576	25.034849166870117	22	74.17647058823529	26.888080223985643	142.0	42.0	74.17647058823529	26.888080223985643	5044	115650
-0.6520262	26.03053307533264	23	78.03076923076924	27.965346264903932	216.0	45.0	78.03076923076924	27.965346264903932	5072	120722
-0.71039677	27.03628897666931	24	72.97142857142858	21.076033395149796	119.0	40.0	72.97142857142858	21.076033395149796	5108	125830
-0.7508917	28.02279233932495	25	86.24137931034483	31.533950147271536	210.0	43.0	86.24137931034483	31.533950147271536	5002	130832
-0.7683201	29.066511154174805	26	83.40983606557377	28.853148277907145	159.0	44.0	83.40983606557377	28.853148277907145	5088	135920
-0.35110617	30.04948925971985	27	74.92537313432835	22.16849548401853	127.0	46.0	74.92537313432835	22.16849548401853	5020	140940
-0.055882454	31.048416137695312	28	74.11764705882354	22.518965478644297	126.0	44.0	74.11764705882354	22.518965478644297	5040	145980
-0.08344269	32.03923511505127	29	78.546875	23.206902049484654	140.0	49.0	78.546875	23.206902049484654	5027	151007
0.003750801	33.034239053726196	30	88.89473684210526	23.13779031628175	123.0	43.0	88.89473684210526	23.13779031628175	5067	156074
-0.14382362	34.05142402648926	31	100.47058823529412	19.948318461913043	130.0	52.0	100.47058823529412	19.948318461913043	5124	161198
-0.17793655	35.03261613845825	32	106.82978723404256	19.602777863219558	151.0	53.0	106.82978723404256	19.602777863219558	5021	166219
-0.21723557	36.01773428916931	33	114.52272727272727	17.12452870799878	161.0	64.0	114.52272727272727	17.12452870799878	5039	171258
-0.030493736	36.99960398674011	34	125.35	23.259997850386828	217.0	91.0	125.35	23.259997850386828	5014	176272
-0.17594814	37.98577928543091	35	139.27777777777777	25.54800613128059	195.0	85.0	139.27777777777777	25.54800613128059	5014	181286
-0.24565125	38.99337816238403	36	143.27777777777777	38.59448083103702	232.0	79.0	143.27777777777777	38.59448083103702	5158	186444
-0.52212906	39.99965214729309	37	175.9655172413793	46.56658766542194	329.0	111.0	175.9655172413793	46.56658766542194	5103	191547
-0.59049225	41.00375008583069	38	204.16	46.667916173748324	338.0	119.0	204.16	46.667916173748324	5104	196651
0.39707375	42.01011824607849	39	233.13636363636363	86.15065844445546	460.0	109.0	233.13636363636363	86.15065844445546	5129	201780
-0.33480453	42.99813914299011	40	209.58333333333334	49.8689254167585	331.0	111.0	209.58333333333334	49.8689254167585	5030	206810
-0.16921806	44.027037143707275	41	208.16	41.29278871667546	294.0	145.0	208.16	41.29278871667546	5204	212014
-0.076293945	45.0464723110199	42	181.46428571428572	33.97318495399522	256.0	121.0	181.46428571428572	33.97318495399522	5081	217095
-0.005197525	46.06032204627991	43	196.0	47.12422209111051	301.0	108.0	196.0	47.12422209111051	5096	222191
-0.075883865	47.08710312843323	44	200.42307692307693	43.804788179554315	310.0	80.0	200.42307692307693	43.804788179554315	5211	227402
-0.04691887	48.100250244140625	45	184.35714285714286	34.59584438887988	252.0	116.0	184.35714285714286	34.59584438887988	5162	232564
-0.047613144	49.095471143722534	46	194.84615384615384	49.524424671602745	309.0	105.0	194.84615384615384	49.524424671602745	5066	237630
-0.010042191	50.08557629585266	47	219.0	38.49675310984031	280.0	145.0	219.0	38.49675310984031	5037	242667
-0.2137909	51.08944821357727	48	220.82608695652175	53.8117913164772	384.0	145.0	220.82608695652175	53.8117913164772	5079	247746
-0.25393867	52.10039496421814	49	205.8	60.66234416835538	343.0	117.0	205.8	60.66234416835538	5145	252891
0.035619736	53.11274003982544	50	244.57142857142858	52.06550034841317	360.0	158.0	244.57142857142858	52.06550034841317	5136	258027
-0.29291344	54.11610412597656	51	233.0	58.786980624191706	406.0	143.0	233.0	58.786980624191706	5126	263153
-0.6449909	55.148833990097046	52	237.27272727272728	74.69829121702719	456.0	144.0	237.27272727272728	74.69829121702719	5220	268373
-0.654541	56.15195918083191	53	242.66666666666666	62.53481569976179	379.0	156.0	242.66666666666666	62.53481569976179	5096	273469
-0.2990408	57.13826012611389	54	200.4	57.83908712972569	397.0	136.0	200.4	57.83908712972569	5010	278479
-0.29843903	58.16194415092468	55	226.0	65.7002415454497	380.0	138.0	226.0	65.7002415454497	5198	283677
-0.10621548	59.152913093566895	56	210.75	58.061210516718184	383.0	126.0	210.75	58.061210516718184	5058	288735
-0.1493969	60.149872064590454	57	209.54166666666666	40.087382851576734	366.0	163.0	209.54166666666666	40.087382851576734	5029	293764
-0.21927643	61.1482880115509	58	221.8695652173913	66.6446151305409	414.0	120.0	221.8695652173913	66.6446151305409	5103	298867
0.059864998	62.14654898643494	59	210.91666666666666	71.03515366039237	387.0	130.0	210.91666666666666	71.03515366039237	5062	303929
-0.16680622	63.15743827819824	60	205.12	52.14772861784107	346.0	113.0	205.12	52.14772861784107	5128	309057
-0.2834463	64.18186020851135	61	218.52173913043478	82.97661774637238	506.0	125.0	218.52173913043478	82.97661774637238	5026	314083
-0.30105877	65.21586012840271	62	225.7826086956522	86.88571029843901	472.0	132.0	225.7826086956522	86.88571029843901	5193	319276
-0.030193806	66.21451902389526	63	227.45454545454547	58.25549312587477	338.0	142.0	227.45454545454547	58.25549312587477	5004	324280
-0.17504346	67.19530606269836	64	227.45454545454547	44.20379176735374	299.0	128.0	227.45454545454547	44.20379176735374	5004	329284
-0.37369967	68.20062112808228	65	211.875	47.75223598604223	321.0	131.0	211.875	47.75223598604223	5085	334369
-0.49517918	69.22024917602539	66	235.0909090909091	62.59023238559388	367.0	113.0	235.0909090909091	62.59023238559388	5172	339541
-0.12637615	70.26127314567566	67	236.6818181818182	72.2303048737077	423.0	137.0	236.6818181818182	72.2303048737077	5207	344748
-0.094500184	71.27915906906128	68	245.66666666666666	61.25383046007609	400.0	151.0	245.66666666666666	61.25383046007609	5159	349907
-0.26935768	72.26735305786133	69	263.36842105263156	65.68281881116712	400.0	151.0	263.36842105263156	65.68281881116712	5004	354911
-0.123912334	73.27904009819031	70	302.3529411764706	90.57135060367052	516.0	200.0	302.3529411764706	90.57135060367052	5140	360051
-0.12284839	74.28560423851013	71	244.42857142857142	63.12162970055844	412.0	173.0	244.42857142857142	63.12162970055844	5133	365184
-1.124413	75.30124020576477	72	241.95238095238096	40.23795435309233	300.0	138.0	241.95238095238096	40.23795435309233	5081	370265
-2.0814948	76.32008814811707	73	247.52380952380952	72.10945321267099	426.0	153.0	247.52380952380952	72.10945321267099	5198	375463
-3.3644087	77.34609007835388	74	226.7826086956522	59.3310216693185	354.0	114.0	226.7826086956522	59.3310216693185	5216	380679
-0.6031457	78.32634902000427	75	228.6818181818182	54.05585189382313	354.0	120.0	228.6818181818182	54.05585189382313	5031	385710
-0.003968239	79.31688714027405	76	210.125	53.48388581308081	386.0	146.0	210.125	53.48388581308081	5043	390753
-1.4707394	80.31664514541626	77	231.27272727272728	73.43468453368601	485.0	144.0	231.27272727272728	73.43468453368601	5088	395841
-4.5451365	81.36133193969727	78	241.45454545454547	71.04398590932449	432.0	147.0	241.45454545454547	71.04398590932449	5312	401153
-4.251434	82.35791015625	79	252.55	89.6389842646602	525.0	161.0	252.55	89.6389842646602	5051	406204
-2.10891	83.36027526855469	80	232.04545454545453	45.945102887455185	332.0	166.0	232.04545454545453	45.945102887455185	5105	411309
-0.95450664	84.36207008361816	81	230.3181818181818	47.00520896051296	324.0	157.0	230.3181818181818	47.00520896051296	5067	416376
-0.51272833	85.35078120231628	82	239.66666666666666	63.66454745912047	371.0	155.0	239.66666666666666	63.66454745912047	5033	421409
-1.0172629	86.35505104064941	83	270.3157894736842	84.89687405538989	554.0	177.0	270.3157894736842	84.89687405538989	5136	426545
-0.33290386	87.35480809211731	84	243.42857142857142	65.30701955166143	406.0	158.0	243.42857142857142	65.30701955166143	5112	431657
-0.15516305	88.39662790298462	85	222.0	44.728164456549905	379.0	165.0	222.0	44.728164456549905	5106	436763
-0.20671076	89.40363121032715	86	244.04761904761904	62.38244273028856	380.0	153.0	244.04761904761904	62.38244273028856	5125	441888
-0.29310095	90.40592622756958	87	231.27272727272728	108.84316565932748	694.0	154.0	231.27272727272728	108.84316565932748	5088	446976
-0.24219847	91.40934300422668	88	270.42105263157896	67.67049873387936	408.0	170.0	270.42105263157896	67.67049873387936	5138	452114
-0.046221256	92.41713309288025	89	205.76	51.667614614959724	312.0	132.0	205.76	51.667614614959724	5144	457258
-0.058026135	93.4022741317749	90	218.82608695652175	71.77904028209437	456.0	144.0	218.82608695652175	71.77904028209437	5033	462291
0.053261995	94.39519619941711	91	211.33333333333334	51.91472709057507	374.0	147.0	211.33333333333334	51.91472709057507	5072	467363
-0.08411384	95.42072010040283	92	208.08	46.63811316938111	316.0	143.0	208.08	46.63811316938111	5202	472565
-0.05431509	96.43766021728516	93	216.375	47.745691341383534	357.0	138.0	216.375	47.745691341383534	5193	477758
-0.378494	97.43993496894836	94	210.91666666666666	51.65019898853784	353.0	144.0	210.91666666666666	51.65019898853784	5062	482820
-0.16798091	98.46929621696472	95	201.30769230769232	40.89834417446527	281.0	127.0	201.30769230769232	40.89834417446527	5234	488054
-0.1732812	99.47001695632935	96	219.08695652173913	62.51532893304494	403.0	152.0	219.08695652173913	62.51532893304494	5039	493093
-0.054573536	100.45718026161194	97	193.69230769230768	43.700703418708734	281.0	114.0	193.69230769230768	43.700703418708734	5036	498129
-0.17266512	101.4604811668396	98	208.75	41.66258313323039	304.0	143.0	208.75	41.66258313323039	5010	503139
-0.37345648	102.4577362537384	99	220.2608695652174	54.8097241382715	374.0	141.0	220.2608695652174	54.8097241382715	5066	508205
