Iteration	AverageReturn	StdReturn
0	192.71321476361624	43.78947060668119
1	2053.4343352822834	1310.67193559521
2	2689.4336961248127	2141.8153896003346
3	4030.479506138117	1452.6635993278812
4	5185.728593095255	358.61569422684914
5	5061.148259443341	958.5669941835574
6	5466.206784630581	172.95860433039357
7	5457.74914407002	70.87068504772293
8	5490.924656296856	50.09993404352001
9	5463.4231903062955	70.2157383079432
10	5485.162833352945	56.29192225793732
11	5479.031527020464	75.38696506591542
12	5458.428690059392	65.30409243877162
13	5279.106408773299	799.5074809476431
14	5335.89872793217	571.4172846784595
15	5473.674890918026	59.509570454591234
16	5478.318501574468	53.42396739687746
17	5468.605711493795	69.45487483803888
18	5344.2424867212385	368.29572701296615
19	5275.887115248212	868.6684531986868
