Iteration	AverageReturn	StdReturn
0	117.69325767551088	2.8604314808495883
1	192.32233394651752	1.8659360703754129
2	193.0219953258943	1.6923088149250476
3	193.19836324663382	2.111319191278596
4	193.9697144697822	1.5743770949826656
5	193.83023614865013	1.9696555676075054
6	193.5146871584811	2.059154675956908
7	192.5501196412847	1.3832461692798512
8	194.1261989631051	1.5689786061144206
9	193.8560761830036	1.9716141311118578
10	193.1091989187181	1.4857859402766893
11	193.15823367684067	1.2933517400132373
12	193.75905548401315	1.7549939602968567
13	193.23600608113378	1.4081012701472237
14	193.67937857978563	1.7260700017123354
15	193.3875751358233	1.6116410604727511
16	193.30860536105	1.8970434929165416
17	192.67575887365848	2.045502225809769
18	193.62320510528838	1.49137049734352
19	192.96282210655	1.2869584805246075
