LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0442667	2.7524569034576416	0	3.506993006993007	1.960703111707326	13.0	1.0	3.506993006993007	1.960703111707326	2006	2006
0.0525856	3.427003860473633	1	3.9178082191780823	2.389043788935447	21.0	1.0	3.9178082191780823	2.389043788935447	2002	4008
0.052458763	4.0640857219696045	2	3.958498023715415	2.4919349984615087	20.0	1.0	3.958498023715415	2.4919349984615087	2003	6011
0.052051544	4.65913987159729	3	4.4368070953436805	2.995543253580863	22.0	1.0	4.4368070953436805	2.995543253580863	2001	8012
0.03702545	5.173335790634155	4	4.589449541284404	3.0633642640773875	16.0	1.0	4.589449541284404	3.0633642640773875	2001	10013
0.036078453	5.686801910400391	5	4.873479318734793	3.0532264951349717	19.0	1.0	4.873479318734793	3.0532264951349717	2003	12016
0.036254883	6.191115856170654	6	5.317460317460317	3.4891762956277046	19.0	1.0	5.317460317460317	3.4891762956277046	2010	14026
0.010307312	6.743443012237549	7	5.440217391304348	3.854234254929435	27.0	1.0	5.440217391304348	3.854234254929435	2002	16028
0.018235207	7.326762914657593	8	5.375335120643432	3.432010284481675	21.0	1.0	5.375335120643432	3.432010284481675	2005	18033
0.0052347183	7.91091775894165	9	5.690340909090909	4.16671304640165	29.0	1.0	5.690340909090909	4.16671304640165	2003	20036
-0.00050735474	8.502763032913208	10	5.541436464088398	4.171025568150126	34.0	1.0	5.541436464088398	4.171025568150126	2006	22042
0.009701729	9.078383922576904	11	5.937869822485207	3.818243061635596	23.0	2.0	5.937869822485207	3.818243061635596	2007	24049
-0.0007390976	9.68854570388794	12	5.819767441860465	4.079452761049899	30.0	1.0	5.819767441860465	4.079452761049899	2002	26051
0.0034065247	10.327043771743774	13	6.072727272727272	4.505973996029334	33.0	2.0	6.072727272727272	4.505973996029334	2004	28055
0.01408577	11.378572702407837	14	6.793918918918919	4.978477005141548	37.0	1.0	6.793918918918919	4.978477005141548	2011	30066
0.009112358	12.37181806564331	15	6.358730158730158	4.5294323173728825	31.0	2.0	6.358730158730158	4.5294323173728825	2003	32069
0.010848045	13.196963787078857	16	6.475728155339806	4.408387108339541	32.0	1.0	6.475728155339806	4.408387108339541	2001	34070
0.0153102875	13.850919961929321	17	6.3386075949367084	4.2793177127346596	31.0	1.0	6.3386075949367084	4.2793177127346596	2003	36073
0.016388893	14.504246711730957	18	6.229813664596273	3.9739031413031753	27.0	2.0	6.229813664596273	3.9739031413031753	2006	38079
0.016134262	15.183816909790039	19	6.800675675675675	4.4718488319591945	34.0	1.0	6.800675675675675	4.4718488319591945	2013	40092
0.023028374	15.93616271018982	20	6.647840531561462	5.003875938356536	34.0	2.0	6.647840531561462	5.003875938356536	2001	42093
0.021591187	16.738389015197754	21	6.816326530612245	5.13891437245177	36.0	2.0	6.816326530612245	5.13891437245177	2004	44097
0.020181656	17.59633493423462	22	7.5	5.415910777721399	37.0	2.0	7.5	5.415910777721399	2010	46107
0.02284813	18.31452965736389	23	7.088339222614841	5.0777667942095155	39.0	2.0	7.088339222614841	5.0777667942095155	2006	48113
0.033145905	18.950191736221313	24	7.909090909090909	5.400522991402624	30.0	1.0	7.909090909090909	5.400522991402624	2001	50114
0.023738861	19.7482488155365	25	7.50561797752809	5.322815555894626	34.0	1.0	7.50561797752809	5.322815555894626	2004	52118
0.016117096	20.459786653518677	26	8.121457489878543	6.164530996769844	40.0	2.0	8.121457489878543	6.164530996769844	2006	54124
0.025997162	21.088772773742676	27	8.011904761904763	5.7483483776033255	30.0	2.0	8.011904761904763	5.7483483776033255	2019	56143
0.024959564	21.75131583213806	28	7.928853754940712	5.671062168320173	34.0	1.0	7.928853754940712	5.671062168320173	2006	58149
0.02260971	22.37422490119934	29	9.413145539906104	6.910440897074779	36.0	2.0	9.413145539906104	6.910440897074779	2005	60154
0.023349762	22.940728902816772	30	8.53191489361702	6.368309384623899	36.0	1.0	8.53191489361702	6.368309384623899	2005	62159
0.041618347	23.52026677131653	31	9.094594594594595	7.250664310513524	41.0	2.0	9.094594594594595	7.250664310513524	2019	64178
0.048742294	24.077746868133545	32	10.412371134020619	8.474038676518154	45.0	2.0	10.412371134020619	8.474038676518154	2020	66198
0.057245255	24.655030727386475	33	10.121212121212121	7.787937742967513	43.0	2.0	10.121212121212121	7.787937742967513	2004	68202
0.030059814	25.220324754714966	34	9.431924882629108	7.761788825934066	42.0	2.0	9.431924882629108	7.761788825934066	2009	70211
0.039556503	25.80738592147827	35	11.01086956521739	8.00881927629648	38.0	1.0	11.01086956521739	8.00881927629648	2026	72237
0.05561638	26.367825984954834	36	11.31638418079096	9.866991850041698	48.0	2.0	11.31638418079096	9.866991850041698	2003	74240
0.03867531	26.93543291091919	37	11.07182320441989	8.81863493349681	48.0	2.0	11.07182320441989	8.81863493349681	2004	76244
0.052410126	27.499323844909668	38	11.414772727272727	9.694399036331227	59.0	2.0	11.414772727272727	9.694399036331227	2009	78253
0.034152985	28.053178787231445	39	12.059880239520957	8.736118568925681	44.0	2.0	12.059880239520957	8.736118568925681	2014	80267
0.051635742	28.572659015655518	40	13.567567567567568	11.052187115192107	49.0	1.0	13.567567567567568	11.052187115192107	2008	82275
0.057826996	29.073699712753296	41	12.90967741935484	10.342126655911224	54.0	2.0	12.90967741935484	10.342126655911224	2001	84276
0.055753708	29.576913833618164	42	15.666666666666666	11.365890309707362	57.0	2.0	15.666666666666666	11.365890309707362	2021	86297
0.0990715	30.09474492073059	43	18.376146788990827	14.47794209033568	70.0	2.0	18.376146788990827	14.47794209033568	2003	88300
0.051181793	30.620078802108765	44	18.952830188679247	14.09695676744593	72.0	2.0	18.952830188679247	14.09695676744593	2009	90309
0.052352905	31.148913860321045	45	17.866071428571427	12.766093159864004	56.0	2.0	17.866071428571427	12.766093159864004	2001	92310
0.062454224	31.682036876678467	46	19.88118811881188	14.82056848010636	81.0	2.0	19.88118811881188	14.82056848010636	2008	94318
0.070114136	32.2004668712616	47	23.318181818181817	18.896575840939985	108.0	2.0	23.318181818181817	18.896575840939985	2052	96370
0.030323029	32.69769597053528	48	20.628865979381445	14.314810719338627	73.0	2.0	20.628865979381445	14.314810719338627	2001	98371
-0.002620697	33.234004974365234	49	24.047619047619047	16.661836034643706	68.0	2.0	24.047619047619047	16.661836034643706	2020	100391
0.09046173	33.77155900001526	50	23.068181818181817	18.588116594006955	79.0	2.0	23.068181818181817	18.588116594006955	2030	102421
0.04067993	34.30898094177246	51	26.973333333333333	17.089547162585152	60.0	2.0	26.973333333333333	17.089547162585152	2023	104444
0.07217407	34.829500913619995	52	24.402439024390244	16.619750046620304	78.0	2.0	24.402439024390244	16.619750046620304	2001	106445
-0.04642105	35.34057664871216	53	28.0	19.136207681890486	91.0	1.0	28.0	19.136207681890486	2016	108461
-0.03517914	35.86224579811096	54	32.41269841269841	19.707894575311308	89.0	2.0	32.41269841269841	19.707894575311308	2042	110503
-0.024337769	36.362080812454224	55	29.44927536231884	18.86376499826275	72.0	2.0	29.44927536231884	18.86376499826275	2032	112535
-0.1440506	36.88442873954773	56	34.016949152542374	19.573842390970842	89.0	2.0	34.016949152542374	19.573842390970842	2007	114542
0.013874054	37.39093995094299	57	34.89655172413793	21.416791394292353	79.0	2.0	34.89655172413793	21.416791394292353	2024	116566
-0.025138855	37.88116097450256	58	40.24	25.48455218362685	146.0	2.0	40.24	25.48455218362685	2012	118578
-0.52671814	38.45803499221802	59	43.1875	24.942981853619667	101.0	3.0	43.1875	24.942981853619667	2073	120651
-0.67297363	39.04829287528992	60	47.16279069767442	26.412585295261206	112.0	3.0	47.16279069767442	26.412585295261206	2028	122679
0.05304718	39.64935088157654	61	45.84090909090909	23.56224173412178	94.0	5.0	45.84090909090909	23.56224173412178	2017	124696
-1.1575851	40.16880393028259	62	45.77272727272727	26.265137311967912	102.0	2.0	45.77272727272727	26.265137311967912	2014	126710
-3.535759	40.71822905540466	63	52.921052631578945	27.938260484360274	123.0	2.0	52.921052631578945	27.938260484360274	2011	128721
-0.4300003	41.296085834503174	64	35.48275862068966	28.09051955627977	100.0	2.0	35.48275862068966	28.09051955627977	2058	130779
0.0398407	41.733330965042114	65	27.916666666666668	21.465573212316816	85.0	2.0	27.916666666666668	21.465573212316816	2010	132789
-0.95700073	42.24666094779968	66	36.72727272727273	25.57659053648618	111.0	2.0	36.72727272727273	25.57659053648618	2020	134809
-3.17733	42.749836683273315	67	57.30555555555556	34.43981823771597	118.0	3.0	57.30555555555556	34.43981823771597	2063	136872
-2.0502472	43.17501378059387	68	58.51428571428571	32.108184473807945	121.0	7.0	58.51428571428571	32.108184473807945	2048	138920
-0.8425598	43.608189821243286	69	34.0	23.986578167871084	86.0	3.0	34.0	23.986578167871084	2006	140926
-0.27954865	44.04828596115112	70	35.36842105263158	26.445330287182145	104.0	3.0	35.36842105263158	26.445330287182145	2016	142942
0.0030937195	44.49075269699097	71	30.96969696969697	23.036183459788237	96.0	3.0	30.96969696969697	23.036183459788237	2044	144986
0.053749084	44.94326090812683	72	27.06578947368421	19.777935291044194	111.0	3.0	27.06578947368421	19.777935291044194	2057	147043
-1.1384506	45.41408681869507	73	41.979166666666664	26.99497606294343	98.0	2.0	41.979166666666664	26.99497606294343	2015	149058
-2.1510696	45.83624505996704	74	51.87179487179487	29.790877529168593	125.0	5.0	51.87179487179487	29.790877529168593	2023	151081
-1.1662903	46.24840569496155	75	65.0	28.33668544370502	123.0	4.0	65.0	28.33668544370502	2015	153096
-1.8100891	46.66794991493225	76	65.87096774193549	29.600285455776866	120.0	5.0	65.87096774193549	29.600285455776866	2042	155138
-1.0165863	47.09282684326172	77	44.86666666666667	28.128751601638253	96.0	2.0	44.86666666666667	28.128751601638253	2019	157157
0.0071640015	47.522358655929565	78	28.914285714285715	22.437686955619274	113.0	2.0	28.914285714285715	22.437686955619274	2024	159181
0.0015335083	47.94420266151428	79	31.80952380952381	26.278035455343506	108.0	2.0	31.80952380952381	26.278035455343506	2004	161185
-0.84853363	48.38307571411133	80	51.34146341463415	38.05234504878873	147.0	2.0	51.34146341463415	38.05234504878873	2105	163290
-2.2446594	48.81586575508118	81	91.65217391304348	55.759271949314225	276.0	8.0	91.65217391304348	55.759271949314225	2108	165398
-1.01268	49.242182970047	82	120.29411764705883	64.1805951119755	270.0	14.0	120.29411764705883	64.1805951119755	2045	167443
-0.6179962	49.6798369884491	83	107.05	64.27166949753212	292.0	10.0	107.05	64.27166949753212	2141	169584
-0.39300537	50.15638875961304	84	122.3529411764706	69.27264223297475	264.0	7.0	122.3529411764706	69.27264223297475	2080	171664
-1.5335388	50.64030694961548	85	95.61904761904762	64.19648127909177	193.0	9.0	95.61904761904762	64.19648127909177	2008	173672
-1.0139465	51.11138367652893	86	93.13636363636364	67.70678457648059	215.0	3.0	93.13636363636364	67.70678457648059	2049	175721
-0.2606659	51.58018183708191	87	127.05882352941177	84.96675515146414	293.0	8.0	127.05882352941177	84.96675515146414	2160	177881
-1.0737	52.01790499687195	88	215.1	122.49444885381541	479.0	64.0	215.1	122.49444885381541	2151	180032
-0.82901	52.447375774383545	89	176.0	105.97798513527862	374.0	37.0	176.0	105.97798513527862	2112	182144
-9.368317	52.87667202949524	90	134.8	135.46325455020389	519.0	3.0	134.8	135.46325455020389	2022	184166
-8.843964	53.33755397796631	91	318.2857142857143	125.75908292753853	501.0	79.0	318.2857142857143	125.75908292753853	2228	186394
-8.230164	53.779162883758545	92	149.57142857142858	114.38201300011809	369.0	10.0	149.57142857142858	114.38201300011809	2094	188488
-1.4540863	54.21889281272888	93	75.25	64.18868669789093	225.0	7.0	75.25	64.18868669789093	2107	190595
-0.26822662	54.64682984352112	94	43.702127659574465	37.75222405375582	219.0	4.0	43.702127659574465	37.75222405375582	2054	192649
-0.10701752	55.07804799079895	95	37.111111111111114	32.91159126365926	147.0	4.0	37.111111111111114	32.91159126365926	2004	194653
0.0015068054	55.505337953567505	96	24.70731707317073	18.923780242212764	91.0	3.0	24.70731707317073	18.923780242212764	2026	196679
0.15818024	55.927881956100464	97	37.77358490566038	35.685016944346025	162.0	3.0	37.77358490566038	35.685016944346025	2002	198681
-0.3189392	56.347424030303955	98	35.21052631578947	34.21743519980445	152.0	4.0	35.21052631578947	34.21743519980445	2007	200688
-1.1528778	56.76476287841797	99	64.6774193548387	69.948085401995	354.0	4.0	64.6774193548387	69.948085401995	2005	202693
