LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.13854218	2.393739938735962	0	8.508474576271187	4.8725202519113076	25.0	3.0	8.508474576271187	4.8725202519113076	1004	1004
0.1439848	2.755063056945801	1	11.540229885057471	7.215571599698201	40.0	3.0	11.540229885057471	7.215571599698201	1004	2008
0.09234047	2.992799997329712	2	15.147058823529411	11.001690653342052	68.0	4.0	15.147058823529411	11.001690653342052	1030	3038
0.026058197	3.2261319160461426	3	18.90740740740741	11.256715721471304	52.0	4.0	18.90740740740741	11.256715721471304	1021	4059
-0.061008453	3.4699618816375732	4	21.458333333333332	12.199655619000982	66.0	7.0	21.458333333333332	12.199655619000982	1030	5089
-0.09895134	3.708042860031128	5	26.63157894736842	15.395524046449992	72.0	7.0	26.63157894736842	15.395524046449992	1012	6101
-0.11017609	3.9316909313201904	6	34.758620689655174	18.97303926067614	79.0	6.0	34.758620689655174	18.97303926067614	1008	7109
-0.19506264	4.161780834197998	7	32.935483870967744	16.83877147436442	71.0	9.0	32.935483870967744	16.83877147436442	1021	8130
-0.1722641	4.382709980010986	8	37.51851851851852	15.521479431134733	67.0	6.0	37.51851851851852	15.521479431134733	1013	9143
0.07305527	4.616666793823242	9	48.72727272727273	24.13443751944854	101.0	8.0	48.72727272727273	24.13443751944854	1072	10215
0.021827698	4.84367299079895	10	49.095238095238095	19.47624869009812	97.0	14.0	49.095238095238095	19.47624869009812	1031	11246
0.07305527	5.065800905227661	11	55.94444444444444	26.52770506098236	127.0	18.0	55.94444444444444	26.52770506098236	1007	12253
0.09220505	5.296985864639282	12	59.111111111111114	28.05131981226332	122.0	11.0	59.111111111111114	28.05131981226332	1064	13317
0.20777893	5.5221428871154785	13	72.5	46.26438000387401	176.0	14.0	72.5	46.26438000387401	1015	14332
0.1330452	5.747194766998291	14	69.46666666666667	33.523855519448965	153.0	40.0	69.46666666666667	33.523855519448965	1042	15374
-0.060825348	5.978111982345581	15	64.375	32.98839758157404	128.0	18.0	64.375	32.98839758157404	1030	16404
0.033081055	6.211459636688232	16	67.66666666666667	32.72851288334922	142.0	14.0	67.66666666666667	32.72851288334922	1015	17419
0.1521759	6.437335968017578	17	77.53846153846153	43.34231434773358	181.0	7.0	77.53846153846153	43.34231434773358	1008	18427
0.08881378	6.671700954437256	18	92.45454545454545	45.52594392484283	163.0	41.0	92.45454545454545	45.52594392484283	1017	19444
-0.08162689	6.901407957077026	19	119.55555555555556	60.41359506879062	247.0	41.0	119.55555555555556	60.41359506879062	1076	20520
-0.045394897	7.148923873901367	20	96.16666666666667	44.702411070942865	194.0	47.0	96.16666666666667	44.702411070942865	1154	21674
0.2163086	7.385373830795288	21	77.71428571428571	46.2530749115722	149.0	15.0	77.71428571428571	46.2530749115722	1088	22762
-0.15018082	7.6364216804504395	22	83.84615384615384	28.654026845067865	132.0	29.0	83.84615384615384	28.654026845067865	1090	23852
-0.09486389	7.888805866241455	23	97.75	40.74130786642308	181.0	35.0	97.75	40.74130786642308	1173	25025
-0.014839172	8.118875741958618	24	121.33333333333333	86.75124078523476	357.0	42.0	121.33333333333333	86.75124078523476	1092	26117
-0.6594696	8.33687686920166	25	91.0909090909091	40.63016019357261	166.0	28.0	91.0909090909091	40.63016019357261	1002	27119
-0.41112137	8.570472955703735	26	71.8	29.18035869096426	114.0	26.0	71.8	29.18035869096426	1077	28196
-0.31131363	8.801464080810547	27	82.6923076923077	17.24655869970147	112.0	55.0	82.6923076923077	17.24655869970147	1075	29271
-0.07532501	9.029218912124634	28	65.125	27.154361988454085	119.0	29.0	65.125	27.154361988454085	1042	30313
0.057575226	9.265080690383911	29	60.27777777777778	35.25589872718788	148.0	7.0	60.27777777777778	35.25589872718788	1085	31398
0.020271301	9.491398811340332	30	53.1578947368421	30.561866775951774	119.0	14.0	53.1578947368421	30.561866775951774	1010	32408
0.17951202	9.715137004852295	31	64.625	36.53914852593038	186.0	33.0	64.625	36.53914852593038	1034	33442
-0.060707092	9.9424729347229	32	74.85714285714286	34.79297372183302	153.0	33.0	74.85714285714286	34.79297372183302	1048	34490
-0.16539764	10.180657863616943	33	91.08333333333333	93.77051627362526	364.0	23.0	91.08333333333333	93.77051627362526	1093	35583
-0.7172928	10.417658805847168	34	108.4	48.35328323909349	202.0	41.0	108.4	48.35328323909349	1084	36667
-2.0496979	10.667991876602173	35	162.14285714285714	82.9981558683747	265.0	44.0	162.14285714285714	82.9981558683747	1135	37802
-2.0679626	10.945421934127808	36	257.4	91.83158498033234	417.0	146.0	257.4	91.83158498033234	1287	39089
-0.96450806	11.192693948745728	37	188.33333333333334	68.45355278500078	302.0	97.0	188.33333333333334	68.45355278500078	1130	40219
-1.2872162	11.414913892745972	38	251.75	65.22413280374067	338.0	155.0	251.75	65.22413280374067	1007	41226
-0.63204956	11.677536010742188	39	615.5	164.5	780.0	451.0	615.5	164.5	1231	42457
-0.23361206	11.991259813308716	40	296.8	185.4932882882828	550.0	62.0	296.8	185.4932882882828	1484	43941
-0.96276855	12.241344928741455	41	291.5	238.9419385541182	684.0	79.0	291.5	238.9419385541182	1166	45107
-2.2479858	12.548167943954468	42	361.5	202.4962962624255	682.0	174.0	361.5	202.4962962624255	1446	46553
-0.6227722	12.785717964172363	43	269.5	85.42394277952756	391.0	181.0	269.5	85.42394277952756	1078	47631
-0.53881836	13.037638902664185	44	233.2	227.69576192806048	666.0	44.0	233.2	227.69576192806048	1166	48797
-0.2084961	13.31987977027893	45	123.1	76.57342881182741	268.0	29.0	123.1	76.57342881182741	1231	50028
-0.53186035	13.545578956604004	46	148.14285714285714	108.05478580189718	407.0	85.0	148.14285714285714	108.05478580189718	1037	51065
-0.38011932	13.766019821166992	47	86.0	51.96473162957097	195.0	21.0	86.0	51.96473162957097	1032	52097
-0.28300858	13.988371849060059	48	57.333333333333336	57.75715443898607	249.0	7.0	57.333333333333336	57.75715443898607	1032	53129
-0.009822845	14.214119911193848	49	53.526315789473685	47.818041542423174	164.0	4.0	53.526315789473685	47.818041542423174	1017	54146
0.0494709	14.451413869857788	50	39.7037037037037	35.32055829307389	122.0	4.0	39.7037037037037	35.32055829307389	1072	55218
-0.0032424927	14.6769278049469	51	38.22222222222222	29.663961591195985	106.0	5.0	38.22222222222222	29.663961591195985	1032	56250
0.0049972534	14.910386800765991	52	49.523809523809526	35.89882482175101	124.0	6.0	49.523809523809526	35.89882482175101	1040	57290
0.06720543	15.147139072418213	53	45.25	31.75459284366069	96.0	4.0	45.25	31.75459284366069	1086	58376
0.00989151	15.373287916183472	54	45.81818181818182	30.87310739673897	102.0	4.0	45.81818181818182	30.87310739673897	1008	59384
-0.06067276	15.598623991012573	55	56.388888888888886	27.59254909268259	101.0	4.0	56.388888888888886	27.59254909268259	1015	60399
0.12161255	15.824610948562622	56	50.04761904761905	30.482588614105264	109.0	4.0	50.04761904761905	30.482588614105264	1051	61450
0.032592773	16.05489182472229	57	66.0625	17.12625451609312	90.0	12.0	66.0625	17.12625451609312	1057	62507
0.035287857	16.28369402885437	58	63.3125	21.753501873261694	98.0	9.0	63.3125	21.753501873261694	1013	63520
0.03724289	16.50430989265442	59	63.5625	17.888434636658403	84.0	4.0	63.5625	17.888434636658403	1017	64537
0.22909164	16.72882890701294	60	60.64705882352941	32.714345075248296	104.0	4.0	60.64705882352941	32.714345075248296	1031	65568
0.061086655	16.94582772254944	61	67.0	17.534727447743997	101.0	21.0	67.0	17.534727447743997	1005	66573
0.18422699	17.174283981323242	62	82.6923076923077	20.020699347596825	124.0	56.0	82.6923076923077	20.020699347596825	1075	67648
-0.044109344	17.41084575653076	63	96.36363636363636	15.633720706872563	122.0	73.0	96.36363636363636	15.633720706872563	1060	68708
0.0014572144	17.64803385734558	64	122.33333333333333	40.53530696949402	199.0	50.0	122.33333333333333	40.53530696949402	1101	69809
-0.68307495	17.895322799682617	65	237.6	89.66738537506265	377.0	113.0	237.6	89.66738537506265	1188	70997
-4.354004	18.168933868408203	66	428.3333333333333	332.28936519579173	884.0	101.0	428.3333333333333	332.28936519579173	1285	72282
-3.694641	18.582302808761597	67	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	74282
-2.6819458	18.906961917877197	68	776.0	224.0	1000.0	552.0	776.0	224.0	1552	75834
-3.9178467	19.32015299797058	69	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	77834
-4.334778	19.731324911117554	70	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	79834
-2.9908447	19.992316722869873	71	414.0	415.46439879569306	1000.0	84.0	414.0	415.46439879569306	1242	81076
-1.0895386	20.359089851379395	72	432.0	331.6504183624679	1000.0	172.0	432.0	331.6504183624679	1728	82804
0.6221924	20.612892866134644	73	397.3333333333333	426.8530842755568	1000.0	66.0	397.3333333333333	426.8530842755568	1192	83996
0.2442627	20.97102689743042	74	574.6666666666666	346.19968547389266	1000.0	152.0	574.6666666666666	346.19968547389266	1724	85720
-0.49432373	21.298869848251343	75	782.5	217.5	1000.0	565.0	782.5	217.5	1565	87285
-3.3439941	21.691890954971313	76	946.5	53.5	1000.0	893.0	946.5	53.5	1893	89178
-4.1442566	22.00686001777649	77	300.6	240.76843646956718	622.0	26.0	300.6	240.76843646956718	1503	90681
-2.3536682	22.233539819717407	78	209.4	118.28879913161686	424.0	96.0	209.4	118.28879913161686	1047	91728
-3.1680527	22.466712951660156	79	129.5	98.89009050455965	331.0	52.0	129.5	98.89009050455965	1036	92764
-0.64105225	22.712570667266846	80	90.58333333333333	59.73895760352331	217.0	27.0	90.58333333333333	59.73895760352331	1087	93851
-0.40262604	22.958483934402466	81	72.28571428571429	67.1495437399972	253.0	23.0	72.28571428571429	67.1495437399972	1012	94863
-0.82286835	23.19062089920044	82	74.07142857142857	71.89721262798349	325.0	27.0	74.07142857142857	71.89721262798349	1037	95900
0.03376484	23.433549880981445	83	45.43478260869565	23.805052600247855	115.0	11.0	45.43478260869565	23.805052600247855	1045	96945
-0.12941074	23.664156913757324	84	38.333333333333336	21.67777493023502	98.0	15.0	38.333333333333336	21.67777493023502	1035	97980
-0.06111169	23.8870530128479	85	38.88461538461539	15.957460090640325	71.0	7.0	38.88461538461539	15.957460090640325	1011	98991
-0.12946463	24.122051000595093	86	36.172413793103445	18.545505944172216	98.0	16.0	36.172413793103445	18.545505944172216	1049	100040
-0.09941387	24.34497094154358	87	43.91304347826087	21.25602327623511	106.0	18.0	43.91304347826087	21.25602327623511	1010	101050
-0.042964935	24.56647276878357	88	35.857142857142854	21.954033611997925	115.0	7.0	35.857142857142854	21.954033611997925	1004	102054
-0.026773691	24.78589177131653	89	33.8	14.675149062275313	65.0	8.0	33.8	14.675149062275313	1014	103068
0.009407282	25.006181716918945	90	31.65625	15.647702257440228	76.0	8.0	31.65625	15.647702257440228	1013	104081
-0.01483202	25.27241086959839	91	29.62857142857143	16.68889402187782	92.0	9.0	29.62857142857143	16.68889402187782	1037	105118
-0.0054079294	25.5085186958313	92	28.62162162162162	21.484565611910924	114.0	6.0	28.62162162162162	21.484565611910924	1059	106177
0.0044271946	25.73177170753479	93	31.9375	16.929887588226922	69.0	8.0	31.9375	16.929887588226922	1022	107199
0.008197069	25.960988759994507	94	32.41935483870968	21.710372418535545	103.0	8.0	32.41935483870968	21.710372418535545	1005	108204
0.009973526	26.190435647964478	95	25.7	13.196969349058897	65.0	6.0	25.7	13.196969349058897	1028	109232
0.010241032	26.41317868232727	96	26.44736842105263	15.892231416342442	76.0	6.0	26.44736842105263	15.892231416342442	1005	110237
0.011752367	26.637861728668213	97	33.36666666666667	21.39857212266484	89.0	9.0	33.36666666666667	21.39857212266484	1001	111238
0.034211874	26.874860048294067	98	31.970588235294116	20.518980157717458	96.0	6.0	31.970588235294116	20.518980157717458	1087	112325
0.018343687	27.099884033203125	99	28.771428571428572	17.28101470943634	65.0	6.0	28.771428571428572	17.28101470943634	1007	113332
