LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.144804	2.4320151805877686	0	9.324074074074074	5.798832423513764	32.0	3.0	9.324074074074074	5.798832423513764	2014	2014
0.114979744	2.9090301990509033	1	12.59748427672956	7.962269118799805	48.0	3.0	12.59748427672956	7.962269118799805	2003	4017
0.051747322	3.338408946990967	2	15.203007518796992	9.177251540741853	53.0	4.0	15.203007518796992	9.177251540741853	2022	6039
-0.089920044	3.759883165359497	3	21.126315789473683	15.295160641790327	95.0	4.0	21.126315789473683	15.295160641790327	2007	8046
-0.029634476	4.1762940883636475	4	28.408450704225352	16.46984223462646	85.0	6.0	28.408450704225352	16.46984223462646	2017	10063
-0.2517395	4.585212230682373	5	35.10526315789474	17.188005008110107	91.0	11.0	35.10526315789474	17.188005008110107	2001	12064
-0.16614151	5.004451036453247	6	35.293103448275865	19.031741744172674	102.0	9.0	35.293103448275865	19.031741744172674	2047	14111
-0.21252441	5.418009042739868	7	45.13333333333333	22.65352560248012	115.0	13.0	45.13333333333333	22.65352560248012	2031	16142
-0.20719528	5.835412979125977	8	44.76086956521739	20.394143215755005	94.0	6.0	44.76086956521739	20.394143215755005	2059	18201
-0.11949539	6.243788003921509	9	50.45	21.338872978674388	106.0	10.0	50.45	21.338872978674388	2018	20219
0.05606842	6.650134086608887	10	54.45945945945946	27.44980145115472	132.0	8.0	54.45945945945946	27.44980145115472	2015	22234
0.0415802	7.069700241088867	11	72.07142857142857	41.96931580795373	177.0	14.0	72.07142857142857	41.96931580795373	2018	24252
-0.057613373	7.479272365570068	12	65.0	33.47892933887551	176.0	27.0	65.0	33.47892933887551	2015	26267
0.078689575	7.8848981857299805	13	69.06896551724138	35.85404419499622	165.0	13.0	69.06896551724138	35.85404419499622	2003	28270
-0.014953613	8.309305191040039	14	72.17241379310344	37.7268485441092	157.0	19.0	72.17241379310344	37.7268485441092	2093	30363
-0.5500641	8.722324132919312	15	72.39285714285714	45.91633640633355	209.0	10.0	72.39285714285714	45.91633640633355	2027	32390
-0.72213745	9.149692296981812	16	101.0	45.23694234119888	201.0	40.0	101.0	45.23694234119888	2121	34511
-1.284523	9.553566932678223	17	100.35	50.38578668632653	221.0	25.0	100.35	50.38578668632653	2007	36518
-1.2025223	9.995179176330566	18	109.15	60.24804976096737	268.0	33.0	109.15	60.24804976096737	2183	38701
-0.67594147	10.413069009780884	19	81.92	33.64392367129613	164.0	23.0	81.92	33.64392367129613	2048	40749
-0.43076324	10.828761100769043	20	73.64285714285714	44.07883707121843	212.0	15.0	73.64285714285714	44.07883707121843	2062	42811
-0.10699463	11.235038995742798	21	67.36666666666666	37.13173246100369	147.0	6.0	67.36666666666666	37.13173246100369	2021	44832
-0.1240387	11.65708589553833	22	62.93939393939394	38.64440795638299	157.0	4.0	62.93939393939394	38.64440795638299	2077	46909
-0.016563416	12.083307981491089	23	56.52777777777778	30.508182974327756	138.0	9.0	56.52777777777778	30.508182974327756	2035	48944
0.07871246	12.504541158676147	24	57.666666666666664	34.50764810556897	164.0	10.0	57.666666666666664	34.50764810556897	2076	51020
0.052459717	12.914664268493652	25	61.21212121212121	35.459543807212334	186.0	12.0	61.21212121212121	35.459543807212334	2020	53040
0.046497345	13.329710245132446	26	68.33333333333333	30.46236293453867	124.0	15.0	68.33333333333333	30.46236293453867	2050	55090
-0.03655243	13.744776248931885	27	76.11111111111111	39.62073281926777	135.0	14.0	76.11111111111111	39.62073281926777	2055	57145
