LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.018644333	2.584528923034668	0	3.650273224043716	2.1580756366684124	16.0	1.0	3.650273224043716	2.1580756366684124	2004	2004
0.018332481	3.2091870307922363	1	3.728119180633147	2.18778792747175	15.0	1.0	3.728119180633147	2.18778792747175	2002	4006
0.018530846	3.8007569313049316	2	3.789772727272727	2.3667779420839183	20.0	1.0	3.789772727272727	2.3667779420839183	2001	6007
0.01742649	4.4285619258880615	3	3.700554528650647	2.2519204511651782	14.0	1.0	3.700554528650647	2.2519204511651782	2002	8009
0.020149231	5.024471998214722	4	3.916015625	2.5523383395929033	19.0	1.0	3.916015625	2.5523383395929033	2005	10014
0.019648552	5.619955062866211	5	4.002	2.4137100074366846	16.0	1.0	4.002	2.4137100074366846	2001	12015
0.01893425	6.179764986038208	6	3.859344894026975	2.4918874837605496	23.0	1.0	3.859344894026975	2.4918874837605496	2003	14018
0.01694107	6.735817909240723	7	3.87984496124031	2.4154502636077986	17.0	1.0	3.87984496124031	2.4154502636077986	2002	16020
0.022475243	7.317550182342529	8	4.355748373101952	2.8129146180040108	23.0	1.0	4.355748373101952	2.8129146180040108	2008	18028
0.026928902	7.869679927825928	9	4.527149321266968	3.1644855500867255	23.0	1.0	4.527149321266968	3.1644855500867255	2001	20029
0.0267725	8.416301012039185	10	4.54421768707483	2.9552166700810294	25.0	1.0	4.54421768707483	2.9552166700810294	2004	22033
0.021497726	8.955760955810547	11	4.585812356979405	3.122968735390601	25.0	1.0	4.585812356979405	3.122968735390601	2004	24037
0.02227974	9.478754043579102	12	4.710588235294118	3.1916812287169196	19.0	1.0	4.710588235294118	3.1916812287169196	2002	26039
0.018324852	9.996416091918945	13	4.791866028708134	3.2689976019820834	31.0	1.0	4.791866028708134	3.2689976019820834	2003	28042
0.023718834	10.520793199539185	14	5.167525773195877	3.7602474504360752	23.0	1.0	5.167525773195877	3.7602474504360752	2005	30047
0.02023983	11.083327054977417	15	4.810096153846154	3.248519483843107	19.0	1.0	4.810096153846154	3.248519483843107	2001	32048
0.020363808	11.664639949798584	16	4.894865525672372	3.8110889605264058	34.0	1.0	4.894865525672372	3.8110889605264058	2002	34050
0.014003754	12.250460863113403	17	4.992518703241895	3.488841334259159	21.0	1.0	4.992518703241895	3.488841334259159	2002	36052
